timestamp,id,action,msg
2025-08-18T12:00:00.000Z,CH-001,BootNotification,"[2,""boot-a7fc3"",""BootNotification"",{""chargePointVendor"":""ACME"",""chargePointModel"":""UltraFast-200"",""chargePointSerialNumber"":""UF200-0001"",""firmwareVersion"":""1.6.7""}]"
2025-08-18T12:00:00.050Z,CH-001,,"[3,""boot-a7fc3"",{""status"":""Accepted"",""currentTime"":""2025-08-18T12:00:00.000Z"",""interval"":300}]"
2025-08-18T12:00:01.000Z,CH-001,StatusNotification,"[2,""notif-3b43d"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:01.000Z""}]"
2025-08-18T12:00:01.040Z,CH-001,,"[3,""notif-3b43d"",{}]"
2025-08-18T12:00:02.000Z,CH-001,StatusNotification,"[2,""notif-6c2c3"",""StatusNotification"",{""connectorId"":2,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:02.000Z""}]"
2025-08-18T12:00:02.040Z,CH-001,,"[3,""notif-6c2c3"",{}]"
2025-08-18T12:00:03.000Z,CH-001,StatusNotification,"[2,""notif-0d466"",""StatusNotification"",{""connectorId"":3,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:03.000Z""}]"
2025-08-18T12:00:03.040Z,CH-001,,"[3,""notif-0d466"",{}]"
2025-08-18T12:00:03.001Z,CH-001,StatusNotification,"[2,""notif-0d4661"",""StatusNotification"",{""connectorId"":3,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:03.001Z""}]"
2025-08-18T12:00:03.041Z,CH-001,,"[3,""notif-0d4661"",{}]"
2025-08-18T12:00:04.000Z,CH-001,StatusNotification,"[2,""notif-a6e80"",""StatusNotification"",{""connectorId"":4,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:04.000Z""}]"
2025-08-18T12:00:04.040Z,CH-001,,"[3,""notif-a6e80"",{}]"
2025-08-18T12:00:05.000Z,CH-001,Heartbeat,"[2,""hb-e1c51"",""Heartbeat"",{}]"
2025-08-18T12:00:05.030Z,CH-001,,"[3,""hb-e1c51"",{""currentTime"":""2025-08-18T12:00:05.000Z""}]"
2025-08-18T12:00:15.000Z,CH-001,StatusNotification,"[2,""notif-21ad8"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:15.000Z""}]"
2025-08-18T12:00:15.040Z,CH-001,,"[3,""notif-21ad8"",{}]"
2025-08-18T12:00:16.000Z,CH-001,RemoteStartTransaction,"[2,""start-ad737"",""RemoteStartTransaction"",{""connectorId"":1,""idTag"":""ABC381XYZ""}]"
2025-08-18T12:00:16.100Z,CH-001,,"[3,""start-ad737"",{""status"":""Accepted""}]"
2025-08-18T12:00:16.300Z,CH-001,StartTransaction,"[2,""tx-b3ede"",""StartTransaction"",{""connectorId"":1,""idTag"":""ABC328XYZ"",""timestamp"":""2025-08-18T12:00:16.300Z"",""meterStart"":2300000}]"
2025-08-18T12:00:16.500Z,CH-001,,"[3,""tx-b3ede"",{""transactionId"":5012,""idTagInfo"":{""status"":""Accepted""}}]"
2025-08-18T12:00:17.000Z,CH-001,StatusNotification,"[2,""notif-328d3"",""StatusNotification"",{""connectorId"":1,""status"":""Charging"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:00:17.000Z""}]"
2025-08-18T12:00:17.040Z,CH-001,,"[3,""notif-328d3"",{}]"
2025-08-18T12:01:05.000Z,CH-001,Heartbeat,"[2,""hb-99c98"",""Heartbeat"",{}]"
2025-08-18T12:01:05.030Z,CH-001,,"[3,""hb-99c98"",{""currentTime"":""2025-08-18T12:01:05.000Z""}]"
